GEOID20,City,Congestion_Index,LOS_actual,Ave_Height,B08301_002E,B08301_003E,B08301_004E,B08301_005E,B08301_010E,B08301_018E,B08301_019E,B08301_021E,B15003_001E,B19013_001E,B19301_001E,B23025_003E,B23025_005E,BLOK_Compact,BLOK_Convex,BLOK_Elong,B_Compactness_Mean,B_Compactness_Median,B_Elongation_Mean,B_Elongation_Median,Block_Total_Area,Build_Cov_Ratio,Commercial_Area,Commercial_Pct,Crash_Inde,Elementary_sch,High_school,Industrial_Area,Industrial_Pct,Institutional_Pct,Length,Mixed_Use_Area,Mixed_Use_Pct,N_B_Vertx,Open_Space_Pct,P1_001N,PM25,Residential_Area,Residential_Pct,Total_Parcel_Count,Transportation_Pct,Vacant_Undeveloped_Pct,to_fire,to_hospital,to_police,LOS_actual_numeric
60371096043006.0,Los Angeles,1.0,Good,2.7909,474.0,474.0,0.0,0.0,0.0,0.0,0.0,43.0,716.0,106536.0,40581.0,568.0,28.0,0.6084231948183264,0.9605267452073126,2.367367021256178,0.604499595424478,0.5764150185020049,1.253871105775073,1.258563475873672,15467.13842564157,0.2866892723007059,0.0,0.0,11.879918848275354,4.0,6.222222328186035,0.0,0.0,0.0,101.59,0.0,0.0,14.03125,0.0,73.0,8.753947257995605,15467.13842564157,100.0,20.0,0.0,0.0,2.0,2.0,2.0,1.0
60372016022012.0,Los Angeles,2.0,Good,2.3133,509.0,486.0,23.0,23.0,0.0,0.0,0.0,31.0,926.0,100855.0,29034.0,617.0,13.0,0.3468924257704002,0.8876473193762756,5.589859885608243,,,,,,,,,4.98268292877479,8.0,6.0,,,,32.57,,,,,0.0,10.215758323669434,,,,,,0.0,8.0,8.0,1.0
60371994001010.0,Los Angeles,1.0,Good,2.3084,131.0,131.0,0.0,0.0,51.0,12.0,16.0,208.0,585.0,,49225.0,461.0,30.0,0.5826418725267942,0.9361762632899804,2.2914331067082223,0.6593711365673438,0.6701528438611789,1.4928528917505184,1.407228398548238,16784.8423245968,0.2406794397527155,0.0,0.0,7.859882900077342,2.0,6.0,0.0,0.0,42.19,131.04,0.0,0.0,12.12121212121212,0.0,125.0,10.640851020812988,9703.18942071273,57.81,16.0,0.0,0.0,2.0,8.22222222222,8.22222222222,1.0
60371926101002.0,Los Angeles,4.0,Medium,2.8427,420.0,390.0,30.0,30.0,110.0,0.0,39.0,69.0,914.0,41950.0,24908.0,649.0,11.0,0.7010289804073366,0.9709897358323608,1.560421725883897,0.6407231979359431,0.6385524249078611,1.5264646839766784,1.4576692001337783,14326.605714747,0.4856373921200917,4235.442374996608,29.56,37.31069472534092,3.0,6.0,0.0,0.0,0.0,31.94,0.0,0.0,11.291666666666666,0.0,104.0,10.584877014160156,10091.163339750392,70.44,17.0,0.0,0.0,2.0,3.27272727273,3.27272727273,2.0
60372092021011.0,Los Angeles,2.0,Good,15.7418,278.0,238.0,40.0,40.0,106.0,32.0,100.0,73.0,745.0,38443.0,18410.0,617.0,6.0,0.7417987037606203,0.9998469418069604,1.324497723950722,0.6253986463208,0.6260104499845233,1.540977077124821,1.4938783713474846,14551.655182154986,0.675289425501723,10499.359111307447,72.15,76.35395715104373,2.0,6.0,0.0,0.0,0.0,45.08,0.0,0.0,14.11111111111111,0.0,12.0,10.795230865478516,4052.296070847538,27.85,9.0,0.0,0.0,2.0,0.571428571429,0.571428571429,1.0
60372623032002.0,Los Angeles,1.0,Good,1.7753,223.0,202.0,21.0,21.0,0.0,0.0,0.0,149.0,555.0,,171902.0,402.0,0.0,0.3677933799454313,0.7909129280787076,3.325189857757269,0.5641813814573102,0.5544351468310647,1.7333931182966484,1.3177546230970671,119444.76272555164,0.2144097035255109,0.0,0.0,6.872403845669746,6.0,9.680912017822266,0.0,0.0,0.0,77.86,0.0,0.0,16.24742268041237,0.0,132.0,9.5341796875,119444.76272555164,100.0,65.0,0.0,0.0,1.05263157895,9.32142857143,9.32142857143,1.0
60372117012011.0,Los Angeles,3.0,Medium,4.6349,229.0,200.0,29.0,29.0,0.0,0.0,0.0,168.0,717.0,101607.0,138975.0,420.0,23.0,0.7533715732081737,1.0,1.3257685142789857,0.6003490327142335,0.6106637033652403,1.4267429918929464,1.3882406296295822,19636.85556904981,0.2811791428370626,0.0,0.0,26.277994682426552,3.0,6.0,0.0,0.0,0.0,133.95,0.0,0.0,16.24,0.0,47.0,10.518218040466309,19636.85556904981,100.0,12.0,0.0,0.0,0.0,6.0,6.0,2.0
60371192023015.0,Los Angeles,4.0,Medium,2.2004,826.0,612.0,214.0,128.0,36.0,0.0,21.0,24.0,1671.0,76599.0,24702.0,1172.0,116.0,0.6724093883941946,1.0,1.9230847888315823,0.6551573488963216,0.6889149547482806,1.8754115271049203,1.4001309264275683,15113.100694847668,0.3509307182796936,3011.4371970932407,19.93,12.444090284233631,3.0,6.0,0.0,0.0,0.0,222.28,0.0,0.0,8.816326530612244,0.0,121.0,8.872879028320312,12101.663497754427,80.07,25.0,0.0,0.0,4.0,4.25,4.25,2.0
60371323011005.0,Los Angeles,4.0,Medium,2.1972,691.0,644.0,47.0,35.0,78.0,0.0,0.0,140.0,1275.0,46974.0,25879.0,975.0,0.0,0.7797952810429398,0.9997004911502572,1.1235218674643566,0.5821312913018019,0.5998995552012585,2.2702965984504937,2.3408867898563384,28420.34426204924,0.167263989052303,0.0,0.0,17.994201683039826,2.0,6.0,0.0,0.0,100.0,88.21,0.0,0.0,15.77777777777778,0.0,0.0,8.809243202209473,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,2.0
60371276061003.0,Los Angeles,3.0,Medium,2.9653,354.0,323.0,31.0,31.0,0.0,0.0,0.0,47.0,648.0,66042.0,35512.0,451.0,11.0,0.5523639521800598,1.0,3.0705300702736382,0.6894467501843071,0.7231499571338512,1.4124101178444364,1.159371971816223,18035.49830788841,0.3699097062370804,0.0,0.0,20.49347143334621,4.0,7.677419185638428,0.0,0.0,0.0,40.84,0.0,0.0,9.76388888888889,0.0,114.0,8.846338272094727,18035.49830788841,100.0,34.0,0.0,0.0,4.0,6.0,6.0,2.0
